model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
Overlap-Weighted XGBoost T-Learner,1,39,23,16,4,4,0.20512820512820512,0.17391304347826086,0.25,0.07608695652173914,-0.17079139535706425,0.34228064915294254,0.17821993,True,0.102132976,0.102132976,0.14791602,0.32613596,0.5897435897435898,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,2,38,21,17,2,5,0.18421052631578946,0.09523809523809523,0.29411764705882354,0.1988795518207283,-0.053354279754601996,0.445846289419503,0.0843473,True,-0.114532255,0.114532255,0.15092252,0.23526984,0.5526315789473685,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,3,38,29,9,5,1,0.15789473684210525,0.1724137931034483,0.1111111111111111,-0.06130268199233718,-0.256941544026949,0.2766375128570091,0.05287319,True,0.11417587,0.11417587,0.11028328,0.16315645,0.7631578947368421,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,4,38,31,7,3,2,0.13157894736842105,0.0967741935483871,0.2857142857142857,0.1889400921658986,-0.0651915110328001,0.5498869309651082,0.038913988,True,-0.15002611,0.15002611,0.11914188,0.15805584,0.8157894736842105,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,5,38,30,8,5,1,0.15789473684210525,0.16666666666666666,0.125,-0.04166666666666666,-0.23934403902134868,0.3165843048375039,0.030094987,True,0.07176165,0.07176165,0.123152845,0.15324785,0.7894736842105263,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,6,39,31,8,2,2,0.10256410256410256,0.06451612903225806,0.25,0.18548387096774194,-0.04304286499360238,0.5293859633432009,0.015164147,True,-0.17031972,0.17031972,0.14936678,0.16453092,0.7948717948717948,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,7,38,28,10,7,2,0.23684210526315788,0.25,0.2,-0.04999999999999999,-0.2828799469793659,0.2834459078428913,-0.00872355,True,0.04127645,0.04127645,0.16658023,0.15785667,0.7368421052631579,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,8,38,27,11,7,2,0.23684210526315788,0.25925925925925924,0.18181818181818182,-0.07744107744107742,-0.30587816394214595,0.2441040069659275,-0.052765463,True,0.024675611,0.024675611,0.2527087,0.19994324,0.7105263157894737,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,9,38,21,17,5,7,0.3157894736842105,0.23809523809523808,0.4117647058823529,0.17366946778711484,-0.11541772501646291,0.4371874594685877,-0.108410746,True,-0.28208023,0.28208023,0.40824124,0.29983056,0.5526315789473685,newcombe_wilson_difference_in_proportions
Overlap-Weighted XGBoost T-Learner,10,38,25,13,10,6,0.42105263157894735,0.4,0.46153846153846156,0.06153846153846154,-0.23805610540037714,0.35913834064122774,-0.25342262,False,-0.31496108,0.31496108,0.57966703,0.32624444,0.6578947368421053,newcombe_wilson_difference_in_proportions
