targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09947643979057591,38,0.9707705056657018,1164.9246067988422
Uplift score,2,0.19895287958115182,76,1.9366931345082603,2324.031761409912
Uplift score,3,0.29842931937172773,114,2.8981873087088936,3477.8247704506725
Uplift score,4,0.39790575916230364,152,3.853610258221266,4624.332309865519
Uplift score,5,0.4973821989528796,190,4.801588458031986,5761.906149638384
Uplift score,6,0.5968586387434555,228,5.741558754064802,6889.870504877763
Uplift score,7,0.6963350785340314,266,6.6722467816623565,8006.696137994828
Uplift score,8,0.7958115183246073,304,7.591372770184368,9109.647324221241
Uplift score,9,0.8952879581151832,342,8.488363515491969,10186.036218590363
Uplift score,10,1.0,382,9.401923445766673,11282.308134920007
Current risk score,1,0.09947643979057591,38,0.9156222086625347,1098.7466503950418
Current risk score,2,0.19895287958115182,76,1.8291752212192167,2195.01026546306
Current risk score,3,0.29842931937172773,114,2.7491578548905573,3298.9894258686686
Current risk score,4,0.39790575916230364,152,3.66942788243779,4403.313458925349
Current risk score,5,0.4973821989528796,190,4.606999463928014,5528.399356713617
Current risk score,6,0.5968586387434555,228,5.549715733670253,6659.658880404304
Current risk score,7,0.6963350785340314,266,6.481785770051726,7778.142924062071
Current risk score,8,0.7958115183246073,304,7.429098925031853,8914.918710038222
Current risk score,9,0.8952879581151832,342,8.391027246590042,10069.232695908051
Current risk score,10,1.0,382,9.401923445766675,11282.308134920011
