feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap,importance_type
dual_elg,0.00034815464137713905,-2.0382818651386934e-05,0.00016388591136287604,-0.00018426873001426298,0.7539267015706806,0.24607329842931938,glmnet_xlearner_final_benefit_score_permutation_shap
ed_visits_last_30d,0.00017999076997716166,-4.349165152672104e-05,6.824955922522029e-05,-0.00011174121075194134,0.6910994764397905,0.3089005235602094,glmnet_xlearner_final_benefit_score_permutation_shap
risk_tier_4,0.0001796912428066814,-6.265177635889327e-07,8.953236252154624e-05,-9.015888028513516e-05,0.612565445026178,0.387434554973822,glmnet_xlearner_final_benefit_score_permutation_shap
risk_tier_Missing,0.00014613285727976054,1.096729705374235e-05,7.855007716675143e-05,-6.75827801130091e-05,0.2094240837696335,0.7905759162303665,glmnet_xlearner_final_benefit_score_permutation_shap
bh_flag,0.0001412205275392814,3.508422262057724e-06,7.236447490066956e-05,-6.885605263861183e-05,0.46596858638743455,0.5340314136125655,glmnet_xlearner_final_benefit_score_permutation_shap
op_visits_last_6m,0.00010324358874677445,2.375885198652258e-05,6.35012203666485e-05,-3.974236838012593e-05,0.3795811518324607,0.6204188481675392,glmnet_xlearner_final_benefit_score_permutation_shap
depression_flag,9.429162969175988e-05,1.5668183862124334e-05,5.4979906776942104e-05,-3.931172291481777e-05,0.28272251308900526,0.7172774869109948,glmnet_xlearner_final_benefit_score_permutation_shap
healthliteracy_challenges_flag,8.639091449163841e-05,-1.8523222641911672e-06,4.226929611372362e-05,-4.4121618377914785e-05,0.15968586387434555,0.8403141361256544,glmnet_xlearner_final_benefit_score_permutation_shap
age,8.352181707566842e-05,6.310856869755969e-06,4.49163369727122e-05,-3.860548010295623e-05,0.6335078534031413,0.36649214659685864,glmnet_xlearner_final_benefit_score_permutation_shap
htn_flag,8.181890080178772e-05,-1.178411484899348e-05,3.501739297639712e-05,-4.68015078253906e-05,0.2591623036649215,0.7408376963350786,glmnet_xlearner_final_benefit_score_permutation_shap
percolator_score,8.167021954500847e-05,1.8183873787641226e-05,4.992704666632484e-05,-3.1743172878683615e-05,0.7303664921465969,0.2696335078534031,glmnet_xlearner_final_benefit_score_permutation_shap
diabetes_flag,8.093727096624335e-05,-5.218726152417366e-06,3.7859272406913e-05,-4.307799855933036e-05,0.8219895287958116,0.17801047120418848,glmnet_xlearner_final_benefit_score_permutation_shap
total_cost_last_6m,7.860729273760513e-05,-3.0135409609350404e-05,2.4235941564127363e-05,-5.437135117347776e-05,0.7853403141361257,0.21465968586387435,glmnet_xlearner_final_benefit_score_permutation_shap
current_risk_score,7.211601392317057e-05,-3.948761750393752e-06,3.408362608638841e-05,-3.8032387836782164e-05,0.2591623036649215,0.7408376963350786,glmnet_xlearner_final_benefit_score_permutation_shap
asthma_flag,6.913692972654817e-05,1.839060388681746e-06,3.548799505761496e-05,-3.364893466893321e-05,0.17539267015706805,0.824607329842932,glmnet_xlearner_final_benefit_score_permutation_shap
risk_tier_1,6.738030353985548e-05,-1.659469435760764e-05,2.539280459112392e-05,-4.198749894873156e-05,0.07853403141361257,0.9214659685863874,glmnet_xlearner_final_benefit_score_permutation_shap
