decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,1164.9246067988422,1098.7466503950418,66.17795640380041
2,1159.10715461107,1096.2636150680182,62.84353954305175
3,1153.7930090407604,1103.9791604056086,49.81384863515177
4,1146.5075394148466,1104.32403305668,42.183506358166596
5,1137.5738397728646,1125.085897788268,12.487941984596546
6,1127.964355239379,1131.2595236906873,-3.2951684513082
7,1116.825633117065,1118.484043657767,-1.6584105407018797
8,1102.9511862264135,1136.7757859761514,-33.8245997497379
9,1076.3888943691218,1154.3139858698287,-77.92509150070691
10,1096.2719163296442,1213.07543901196,-116.80352268231582
