targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,1164.924606798844,1164.924606798844
Uplift score,2,1159.1071546110713,2324.0317614099154
Uplift score,3,1153.7930090407613,3477.8247704506766
Uplift score,4,1146.507539414847,4624.332309865524
Uplift score,5,1137.5738397728664,5761.90614963839
Uplift score,6,1127.9643552393763,6889.8705048777665
Uplift score,7,1116.825633117066,8006.6961379948325
Uplift score,8,1102.9511862264108,9109.647324221243
Uplift score,9,1076.38889436912,10186.036218590363
Uplift score,10,1096.2719163296406,11282.308134920004
Current risk score,1,1098.7466503950398,1098.7466503950398
Current risk score,2,1096.2636150680162,2195.010265463056
Current risk score,3,1103.9791604056077,3298.9894258686636
Current risk score,4,1104.3240330566769,4403.3134589253405
Current risk score,5,1125.085897788268,5528.3993567136085
Current risk score,6,1131.2595236906882,6659.658880404297
Current risk score,7,1118.484043657766,7778.142924062063
Current risk score,8,1136.7757859761523,8914.918710038215
Current risk score,9,1154.3139858698269,10069.232695908042
Current risk score,10,1213.0754390119619,11282.308134920004
