uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,39,0.025544584653658612,0.20512820512820512,0.8205128205128205,0.115745776441005,0.22631285755932304
2,38,0.025415993836033417,0.21052631578947367,0.8947368421052632,0.12138099799315649,0.1866322314472815
3,38,0.02529987154214881,0.13157894736842105,0.7368421052631579,0.14919933752491493,0.21413315572073183
4,38,0.025137093425177906,0.2894736842105263,0.8157894736842105,0.2415818340170593,0.3059679836371894
5,38,0.0249412176638366,0.18421052631578946,0.7631578947368421,0.17727564537362478,0.1475086670784446
6,39,0.024727889059614462,0.20512820512820512,0.717948717948718,0.2615547730416914,0.19989480566046053
7,38,0.024477814134482422,0.13157894736842105,0.5789473684210527,0.19589099108122698,0.27323342078819585
8,38,0.024166398854592753,0.15789473684210525,0.6052631578947368,0.25275765189105437,0.2586067062926752
9,38,0.02356985395864879,0.34210526315789475,0.5263157894736842,0.30448779720049424,0.3285193249878808
10,38,0.022815361083737704,0.2894736842105263,0.5,0.26468303309192015,0.38196988033328405
