risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,11,30,0.36666666666666664,predicted-benefit tercile (top third)
1,Medium benefit,17,30,0.5666666666666667,predicted-benefit tercile (middle third)
1,Low benefit,2,30,0.06666666666666667,predicted-benefit tercile (bottom third)
2,High benefit,11,45,0.24444444444444444,predicted-benefit tercile (top third)
2,Medium benefit,25,45,0.5555555555555556,predicted-benefit tercile (middle third)
2,Low benefit,9,45,0.2,predicted-benefit tercile (bottom third)
3,High benefit,14,67,0.208955223880597,predicted-benefit tercile (top third)
3,Medium benefit,23,67,0.34328358208955223,predicted-benefit tercile (middle third)
3,Low benefit,30,67,0.44776119402985076,predicted-benefit tercile (bottom third)
4,High benefit,22,148,0.14864864864864866,predicted-benefit tercile (top third)
4,Medium benefit,50,148,0.33783783783783783,predicted-benefit tercile (middle third)
4,Low benefit,76,148,0.5135135135135135,predicted-benefit tercile (bottom third)
5,High benefit,1,12,0.08333333333333333,predicted-benefit tercile (top third)
5,Medium benefit,3,12,0.25,predicted-benefit tercile (middle third)
5,Low benefit,8,12,0.6666666666666666,predicted-benefit tercile (bottom third)
