targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.09947643979057591,38,10.241676638834727,12290.011966601673
Uplift score,2,0.19895287958115182,76,15.1711371944718,18205.36463336616
Uplift score,3,0.29842931937172773,114,17.471854517683493,20966.22542122019
Uplift score,4,0.39790575916230364,152,17.93602943965631,21523.235327587572
Uplift score,5,0.4973821989528796,190,17.515283272134738,21018.339926561686
Uplift score,6,0.5968586387434555,228,16.30001593660451,19560.019123925413
Uplift score,7,0.6963350785340314,266,14.221403594252912,17065.684313103495
Uplift score,8,0.7958115183246073,304,11.213391153712438,13456.069384454926
Uplift score,9,0.8952879581151832,342,6.691059630783208,8029.27155693985
Uplift score,10,1.0,382,-1.1046245501769967,-1325.549460212396
Current risk score,1,0.09947643979057591,38,2.374541211948808,2849.4494543385695
Current risk score,2,0.19895287958115182,76,3.625637464664091,4350.764957596909
Current risk score,3,0.29842931937172773,114,2.480122939291207,2976.1475271494487
Current risk score,4,0.39790575916230364,152,1.2670054075728392,1520.406489087407
Current risk score,5,0.4973821989528796,190,0.5402324665540568,648.2789598648682
Current risk score,6,0.5968586387434555,228,0.1847404521654199,221.6885425985039
Current risk score,7,0.6963350785340314,266,-2.2189394350280267,-2662.727322033632
Current risk score,8,0.7958115183246073,304,-4.157964739717876,-4989.557687661451
Current risk score,9,0.8952879581151832,342,-2.760098265764868,-3312.1179189178415
Current risk score,10,1.0,382,-1.1046245501770007,-1325.5494602124008
