decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,12290.011966601673,2849.4494543385695,9440.562512263103
2,5915.352666764487,1501.3155032583395,4414.037163506147
3,2760.8607878540315,-1374.6174304474603,4135.478218301492
4,557.0099063673806,-1455.7410380620418,2012.7509444294224
5,-504.8954010258858,-872.1275292225388,367.232128196653
6,-1458.3208026362736,-426.5904172663643,-1031.7303853699093
7,-2494.334810821918,-2884.4158646321357,390.0810538102178
8,-3609.614928648569,-2326.8303656278194,-1282.7845630207494
9,-5426.797827515076,1677.4397687436099,-7104.237596258687
10,-9354.821017152246,1986.5684587054407,-11341.389475857686
