targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,12290.011966601673,12290.011966601673
Uplift score,2,5915.352666764487,18205.36463336616
Uplift score,3,2760.8607878540315,20966.22542122019
Uplift score,4,557.0099063673806,21523.235327587572
Uplift score,5,-504.8954010258858,21018.339926561686
Uplift score,6,-1458.3208026362736,19560.019123925413
Uplift score,7,-2494.334810821918,17065.684313103495
Uplift score,8,-3609.614928648569,13456.069384454926
Uplift score,9,-5426.797827515076,8029.27155693985
Uplift score,10,-9354.821017152246,-1325.549460212396
Current risk score,1,2849.4494543385695,2849.4494543385695
Current risk score,2,1501.3155032583395,4350.764957596909
Current risk score,3,-1374.6174304474603,2976.1475271494487
Current risk score,4,-1455.7410380620418,1520.406489087407
Current risk score,5,-872.1275292225388,648.2789598648682
Current risk score,6,-426.5904172663643,221.6885425985039
Current risk score,7,-2884.4158646321357,-2662.727322033632
Current risk score,8,-2326.8303656278194,-4989.557687661451
Current risk score,9,1677.4397687436099,-3312.1179189178415
Current risk score,10,1986.5684587054407,-1325.5494602124008
