model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost X-Learner,1,39,28,11,6,4,0.2564102564102564,0.21428571428571427,0.36363636363636365,0.14935064935064937,-0.12944899928050405,0.4533599598352879,0.2828027669865559,True,0.1334521176359065,0.1334521176359065,0.2536742,0.35097224,0.717948717948718,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,2,38,23,15,4,6,0.2631578947368421,0.17391304347826086,0.4,0.22608695652173916,-0.05621944456000977,0.49002625913523473,0.12158247282748202,True,-0.10450448369425713,0.10450448369425713,0.18420099,0.26339445,0.6052631578947368,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,3,38,22,16,3,4,0.18421052631578946,0.13636363636363635,0.25,0.11363636363636365,-0.1328604724706976,0.37424194485770323,0.052739293238646894,True,-0.06089707039771675,0.06089707039771675,0.20638634,0.26660365,0.5789473684210527,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,4,38,32,6,6,2,0.21052631578947367,0.1875,0.3333333333333333,0.14583333333333331,-0.14292626573240286,0.5255334864649129,0.016747415356206448,True,-0.12908591797712687,0.12908591797712687,0.15418185,0.20591564,0.8421052631578947,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,5,38,32,6,4,2,0.15789473684210525,0.125,0.3333333333333333,0.20833333333333331,-0.074860518095893,0.5826583738520569,-0.0046454548039628835,True,-0.2129787881372962,0.2129787881372962,0.15912601,0.18585911,0.8421052631578947,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,6,39,26,13,4,2,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,-0.2125077690146469,0.28393676254995476,-0.02330268306853368,True,-0.02330268306853368,0.02330268306853368,0.14446692,0.17894366,0.6666666666666666,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,7,38,27,11,4,1,0.13157894736842105,0.14814814814814814,0.09090909090909091,-0.05723905723905723,-0.24901464272581714,0.24271468621074985,-0.0497904431375429,True,0.007448614101514331,0.007448614101514331,0.18746549,0.21310799,0.7105263157894737,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,8,38,22,16,4,3,0.18421052631578946,0.18181818181818182,0.1875,0.005681818181818177,-0.2312422995627337,0.27153092902812365,-0.07861925952511899,True,-0.08430107770693716,0.08430107770693716,0.1935416,0.19413574,0.5789473684210527,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,9,38,25,13,9,4,0.34210526315789475,0.36,0.3076923076923077,-0.05230769230769228,-0.3181504563752467,0.2590868296547693,-0.11897523349634553,True,-0.06666754118865326,0.06666754118865326,0.27322933,0.23381233,0.6578947368421053,newcombe_wilson_difference_in_proportions
XGBoost X-Learner,10,38,29,9,6,4,0.2631578947368421,0.20689655172413793,0.4444444444444444,0.2375478927203065,-0.07341127874588857,0.5461317666511452,-0.21510677617017462,False,-0.4526546688904811,0.4526546688904811,0.3773965,0.261712,0.7631578947368421,newcombe_wilson_difference_in_proportions
