uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,39,0.2668112809571932,0.20512820512820512,0.6923076923076923,0.26379135,0.36006358
2,38,0.12794741899572096,0.2631578947368421,0.6578947368421053,0.20593958,0.30607244
3,38,0.058874603960444326,0.2894736842105263,0.6842105263157895,0.22142729,0.26268184
4,38,0.011263012432522023,0.23684210526315788,0.631578947368421,0.2731361,0.28830865
5,38,-0.0115249149733528,0.15789473684210525,0.7894736842105263,0.14988649,0.16677898
6,39,-0.03297496884459167,0.1794871794871795,0.7435897435897436,0.13574132,0.14069356
7,38,-0.055833301574303364,0.13157894736842105,0.7105263157894737,0.19070834,0.17428018
8,38,-0.080819743564613,0.18421052631578946,0.631578947368421,0.18439259,0.15951507
9,38,-0.12123801636665595,0.34210526315789475,0.631578947368421,0.25014484,0.20397663
10,38,-0.1977280252931428,0.15789473684210525,0.7894736842105263,0.3190826,0.2188198
