risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
1,High benefit,10,30,0.3333333333333333,predicted-benefit tercile (top third)
1,Medium benefit,12,30,0.4,predicted-benefit tercile (middle third)
1,Low benefit,8,30,0.26666666666666666,predicted-benefit tercile (bottom third)
2,High benefit,6,45,0.13333333333333333,predicted-benefit tercile (top third)
2,Medium benefit,21,45,0.4666666666666667,predicted-benefit tercile (middle third)
2,Low benefit,18,45,0.4,predicted-benefit tercile (bottom third)
3,High benefit,20,67,0.29850746268656714,predicted-benefit tercile (top third)
3,Medium benefit,22,67,0.3283582089552239,predicted-benefit tercile (middle third)
3,Low benefit,25,67,0.373134328358209,predicted-benefit tercile (bottom third)
4,High benefit,62,148,0.4189189189189189,predicted-benefit tercile (top third)
4,Medium benefit,32,148,0.21621621621621623,predicted-benefit tercile (middle third)
4,Low benefit,54,148,0.36486486486486486,predicted-benefit tercile (bottom third)
5,High benefit,6,12,0.5,predicted-benefit tercile (top third)
5,Medium benefit,2,12,0.16666666666666666,predicted-benefit tercile (middle third)
5,Low benefit,4,12,0.3333333333333333,predicted-benefit tercile (bottom third)
