uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,39,0.2668112809571932,0.20512820512820512,0.6923076923076923,0.26379135,0.36006358,0.2668112809571932,10.405639957330536,12486.767948796643,9750,2736.7679487966434,0.2806941485945275
2,38,0.12794741899572096,0.2631578947368421,0.6578947368421053,0.20593958,0.30607244,0.12794741899572096,4.862001921837396,5834.4023062048755,9500,-3665.5976937951245,-0.3858523888205394
3,38,0.058874603960444326,0.2894736842105263,0.6842105263157895,0.22142729,0.26268184,0.058874603960444326,2.2372349504968843,2684.681940596261,9500,-6815.3180594037385,-0.7174019009898672
4,38,0.011263012432522023,0.23684210526315788,0.631578947368421,0.2731361,0.28830865,0.011263012432522023,0.4279944724358369,513.5933669230043,9500,-8986.406633076997,-0.9459375403238943
5,38,-0.0115249149733528,0.15789473684210525,0.7894736842105263,0.14988649,0.16677898,-0.0115249149733528,-0.4379467689874064,-525.5361227848877,9500,-10025.536122784888,-1.0553195918720935
6,39,-0.03297496884459167,0.1794871794871795,0.7435897435897436,0.13574132,0.14069356,-0.03297496884459167,-1.286023784939075,-1543.2285419268899,9750,-11293.22854192689,-1.15827985045404
7,38,-0.055833301574303364,0.13157894736842105,0.7105263157894737,0.19070834,0.17428018,-0.055833301574303364,-2.121665459823528,-2545.9985517882333,9500,-12045.998551788234,-1.2679998475566563
8,38,-0.080819743564613,0.18421052631578946,0.631578947368421,0.18439259,0.15951507,-0.080819743564613,-3.0711502554552936,-3685.3803065463526,9500,-13185.380306546353,-1.3879347691101425
9,38,-0.12123801636665595,0.34210526315789475,0.631578947368421,0.25014484,0.20397663,-0.12123801636665595,-4.607044621932926,-5528.453546319511,9500,-15028.45354631951,-1.5819424785599483
10,38,-0.1977280252931428,0.15789473684210525,0.7894736842105263,0.3190826,0.2188198,-0.1977280252931428,-7.513664961139426,-9016.397953367312,9500,-18516.397953367312,-1.9490945214070854
