member_id,split,propensity_score,propensity_model,seed
AA400I4W,train,0.8721372304516675,GLMNet elastic-net logistic,123
AAC3958A,test,0.7387309900973833,GLMNet elastic-net logistic,123
AB001U6D,train,0.701854712821561,GLMNet elastic-net logistic,123
AB50588B,test,0.705373350898841,GLMNet elastic-net logistic,123
AC101B7W,train,0.6281730651309498,GLMNet elastic-net logistic,123
AC101K7K,train,0.8372915451490224,GLMNet elastic-net logistic,123
AC14988C,train,0.1508683698051887,GLMNet elastic-net logistic,123
AC29424D,test,0.7318620219721504,GLMNet elastic-net logistic,123
AC61898B,test,0.5302279726947697,GLMNet elastic-net logistic,123
AC80906A,train,0.13783058972733792,GLMNet elastic-net logistic,123
AD58611A,train,0.09730895031151121,GLMNet elastic-net logistic,123
AD69410A,train,0.44617278157014667,GLMNet elastic-net logistic,123
AE06138D,train,0.8776777371570155,GLMNet elastic-net logistic,123
AE32563G,train,0.8613358649498978,GLMNet elastic-net logistic,123
AE88904C,test,0.309743879273608,GLMNet elastic-net logistic,123
AF45167D,train,0.6154325008173759,GLMNet elastic-net logistic,123
AF98273A,train,0.6785818422525256,GLMNet elastic-net logistic,123
AG301N9W,train,0.924771123707228,GLMNet elastic-net logistic,123
AH18285C,train,0.7560826248019754,GLMNet elastic-net logistic,123
AH28631B,test,0.5694826843499459,GLMNet elastic-net logistic,123
AH33946G,test,0.2986192688249939,GLMNet elastic-net logistic,123
AH39356C,test,0.40617027121386495,GLMNet elastic-net logistic,123
AH400I9N,train,0.6502353834134398,GLMNet elastic-net logistic,123
AH501S2S,train,0.16687466377650803,GLMNet elastic-net logistic,123
AH79717D,train,0.8507639623689004,GLMNet elastic-net logistic,123
AH900V2U,train,0.799074875056862,GLMNet elastic-net logistic,123
AHA1546A,train,0.5804634664124055,GLMNet elastic-net logistic,123
AHE5055C,train,0.6469994908796934,GLMNet elastic-net logistic,123
AI41574D,train,0.5474020125761072,GLMNet elastic-net logistic,123
AI700M5G,train,0.760648821403855,GLMNet elastic-net logistic,123
AI90126A,train,0.3874782710678296,GLMNet elastic-net logistic,123
AI92718E,test,0.902121346375317,GLMNet elastic-net logistic,123
AJ08315A,test,0.6211846533782979,GLMNet elastic-net logistic,123
AJ23298A,train,0.25232539192853587,GLMNet elastic-net logistic,123
AJ301S9I,test,0.5733478603145064,GLMNet elastic-net logistic,123
AJ401F9X,train,0.8499929082014701,GLMNet elastic-net logistic,123
AJ41589I,train,0.8500611196969083,GLMNet elastic-net logistic,123
AJ67915A,train,0.3969425137028924,GLMNet elastic-net logistic,123
AJ801L2L,train,0.6855765792828573,GLMNet elastic-net logistic,123
AK200U5O,train,0.8754438179931268,GLMNet elastic-net logistic,123
AK501N8E,train,0.6636400407623132,GLMNet elastic-net logistic,123
AK701D9L,train,0.7103123183656768,GLMNet elastic-net logistic,123
AK70263F,test,0.4175450909410849,GLMNet elastic-net logistic,123
AL63019E,train,0.6053586047711582,GLMNet elastic-net logistic,123
AM07196A,test,0.6102730000269172,GLMNet elastic-net logistic,123
AM18953A,train,0.3881819161392019,GLMNet elastic-net logistic,123
AM300K4O,train,0.8793785939154629,GLMNet elastic-net logistic,123
AMI3618B,test,0.8968904119612429,GLMNet elastic-net logistic,123
AN07219B,train,0.27808965411074793,GLMNet elastic-net logistic,123
AN35327B,test,0.8603871995461359,GLMNet elastic-net logistic,123
AN900O6J,test,0.8776797788790537,GLMNet elastic-net logistic,123
AN90512E,train,0.8536103792744953,GLMNet elastic-net logistic,123
AO000U8A,train,0.7819795157356617,GLMNet elastic-net logistic,123
AO28759B,train,0.7490407804754032,GLMNet elastic-net logistic,123
AP24574C,train,0.7735974578666797,GLMNet elastic-net logistic,123
AP32239B,train,0.8634073405549993,GLMNet elastic-net logistic,123
AP67219B,train,0.8654121723769489,GLMNet elastic-net logistic,123
AP98503I,train,0.7770829399024334,GLMNet elastic-net logistic,123
AQ11785A,train,0.564264108111632,GLMNet elastic-net logistic,123
AQ17592D,train,0.753641682642638,GLMNet elastic-net logistic,123
AQ58927D,test,0.4019795634908022,GLMNet elastic-net logistic,123
AQ59164B,test,0.6173988696441935,GLMNet elastic-net logistic,123
AQ99673M,train,0.23192384147894424,GLMNet elastic-net logistic,123
AR100J7P,train,0.8869017351232454,GLMNet elastic-net logistic,123
AR44446B,train,0.8333438771923152,GLMNet elastic-net logistic,123
AR700P8E,train,0.9044387230431428,GLMNet elastic-net logistic,123
AS900R7E,train,0.9121306440933769,GLMNet elastic-net logistic,123
AT16322E,test,0.1734563911325414,GLMNet elastic-net logistic,123
AT17536B,train,0.6424047877313687,GLMNet elastic-net logistic,123
AT26354A,train,0.13569306395832406,GLMNet elastic-net logistic,123
AT26354A,train,0.3586081478156583,GLMNet elastic-net logistic,123
AT300W7A,test,0.7685987140426753,GLMNet elastic-net logistic,123
AT301D1J,train,0.8300091941076889,GLMNet elastic-net logistic,123
AT50016F,train,0.5936665477934275,GLMNet elastic-net logistic,123
AT74586A,test,0.20568724082071002,GLMNet elastic-net logistic,123
AT99864A,train,0.9022880709003738,GLMNet elastic-net logistic,123
AU05885E,train,0.602024209990142,GLMNet elastic-net logistic,123
AU12048A,train,0.505215361531287,GLMNet elastic-net logistic,123
AU39678C,train,0.3042243968291065,GLMNet elastic-net logistic,123
AU47622A,train,0.4802626543211788,GLMNet elastic-net logistic,123
AU73180F,test,0.45566473239628136,GLMNet elastic-net logistic,123
AV46654B,train,0.7338121399759948,GLMNet elastic-net logistic,123
AV601N0A,test,0.86777356490114,GLMNet elastic-net logistic,123
AV67601A,train,0.7296575069768364,GLMNet elastic-net logistic,123
AW401S7K,train,0.8622053554055442,GLMNet elastic-net logistic,123
AX100L7O,train,0.9356733559731745,GLMNet elastic-net logistic,123
AX101A0E,train,0.8344120434170276,GLMNet elastic-net logistic,123
