original_oregon_column,normalized_column,modeling_name,role,status,transformation,reason
member_id,member_id,member_id,identifier/grouping key,excluded,Retained as output identifier and grouping key; excluded from predictors.,retained for grouped splitting and outputs; never a predictor
client_contract,client_contract,client_contract,candidate baseline predictor,excluded,No modeling transformation; field excluded before preprocessing.,zero-variance or all-missing predictor removed using training data only
age,age,age,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
gender,gender,gender,eligible baseline predictor,included,Missing category handling and one-hot encoding using training levels only.,leakage-safe baseline predictor retained after train-only filtering
dual_elg,dual_elg,dual_elg,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
County,county,county,eligible baseline predictor,included,Missing category handling and one-hot encoding using training levels only.,leakage-safe baseline predictor retained after train-only filtering
State,state,state,eligible baseline predictor,included,Missing category handling and one-hot encoding using training levels only.,leakage-safe baseline predictor retained after train-only filtering
plan_type,plan_type,plan_type,candidate baseline predictor,excluded,No modeling transformation; field excluded before preprocessing.,zero-variance or all-missing predictor removed using training data only
diabetes_flag,diabetes_flag,diabetes_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
chf_flag,chf_flag,chf_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
copd_flag,copd_flag,copd_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
asthma_flag,asthma_flag,asthma_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
depression_flag,depression_flag,depression_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
anxiety_flag,anxiety_flag,anxiety_flag,eligible baseline predictor,included,Numeric coercion and train-median imputation.,leakage-safe baseline predictor retained after train-only filtering
