model,uplift_decile,n,treated_n,control_n,treated_events,control_events,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95
XGBoost,1,39,26,13,4,3,0.15384615384615385,0.23076923076923078,0.07692307692307693,-0.15785998792733608,0.3639771082775273
XGBoost,2,38,26,12,5,5,0.19230769230769232,0.4166666666666667,0.22435897435897437,-0.06663212787303244,0.5091428418252457
XGBoost,3,38,29,9,3,1,0.10344827586206896,0.1111111111111111,0.007662835249042141,-0.17686386461881953,0.3385375822049067
XGBoost,4,38,31,7,4,1,0.12903225806451613,0.14285714285714285,0.013824884792626724,-0.1840847084421771,0.3921581089403833
XGBoost,5,38,26,12,4,2,0.15384615384615385,0.16666666666666666,0.012820512820512803,-0.2045692444079754,0.308951500408461
XGBoost,6,39,28,11,8,4,0.2857142857142857,0.36363636363636365,0.07792207792207795,-0.20334661704743628,0.3902951673541844
XGBoost,7,38,27,11,1,0,0.037037037037037035,0.0,-0.037037037037037035,-0.18283466100127826,0.2235831073930623
XGBoost,8,38,22,16,1,2,0.045454545454545456,0.125,0.07954545454545454,-0.11505476143656897,0.3177260337657758
XGBoost,9,38,24,14,9,8,0.375,0.5714285714285714,0.1964285714285714,-0.11892151055407568,0.46628957764100065
XGBoost,10,38,27,11,11,6,0.4074074074074074,0.5454545454545454,0.13804713804713803,-0.18562414441059044,0.42927098478601006
XGBoost X-Learner,1,39,28,11,6,4,0.21428571428571427,0.36363636363636365,0.14935064935064937,-0.12944899928050405,0.4533599598352879
XGBoost X-Learner,2,38,23,15,4,6,0.17391304347826086,0.4,0.22608695652173916,-0.05621944456000977,0.49002625913523473
XGBoost X-Learner,3,38,22,16,3,4,0.13636363636363635,0.25,0.11363636363636365,-0.1328604724706976,0.37424194485770323
XGBoost X-Learner,4,38,32,6,6,2,0.1875,0.3333333333333333,0.14583333333333331,-0.14292626573240286,0.5255334864649129
XGBoost X-Learner,5,38,32,6,4,2,0.125,0.3333333333333333,0.20833333333333331,-0.074860518095893,0.5826583738520569
XGBoost X-Learner,6,39,26,13,4,2,0.15384615384615385,0.15384615384615385,0.0,-0.2125077690146469,0.28393676254995476
XGBoost X-Learner,7,38,27,11,4,1,0.14814814814814814,0.09090909090909091,-0.05723905723905723,-0.24901464272581714,0.24271468621074985
XGBoost X-Learner,8,38,22,16,4,3,0.18181818181818182,0.1875,0.005681818181818177,-0.2312422995627337,0.27153092902812365
XGBoost X-Learner,9,38,25,13,9,4,0.36,0.3076923076923077,-0.05230769230769228,-0.3181504563752467,0.2590868296547693
XGBoost X-Learner,10,38,29,9,6,4,0.20689655172413793,0.4444444444444444,0.2375478927203065,-0.07341127874588857,0.5461317666511452
Overlap-Weighted XGBoost T-Learner,1,39,23,16,4,4,0.17391304347826086,0.25,0.07608695652173914,-0.17079139535706425,0.34228064915294254
Overlap-Weighted XGBoost T-Learner,2,38,21,17,2,5,0.09523809523809523,0.29411764705882354,0.1988795518207283,-0.053354279754601996,0.445846289419503
Overlap-Weighted XGBoost T-Learner,3,38,29,9,5,1,0.1724137931034483,0.1111111111111111,-0.06130268199233718,-0.256941544026949,0.2766375128570091
Overlap-Weighted XGBoost T-Learner,4,38,31,7,3,2,0.0967741935483871,0.2857142857142857,0.1889400921658986,-0.0651915110328001,0.5498869309651082
Overlap-Weighted XGBoost T-Learner,5,38,30,8,5,1,0.16666666666666666,0.125,-0.04166666666666666,-0.23934403902134868,0.3165843048375039
Overlap-Weighted XGBoost T-Learner,6,39,31,8,2,2,0.06451612903225806,0.25,0.18548387096774194,-0.04304286499360238,0.5293859633432009
Overlap-Weighted XGBoost T-Learner,7,38,28,10,7,2,0.25,0.2,-0.04999999999999999,-0.2828799469793659,0.2834459078428913
Overlap-Weighted XGBoost T-Learner,8,38,27,11,7,2,0.25925925925925924,0.18181818181818182,-0.07744107744107742,-0.30587816394214595,0.2441040069659275
Overlap-Weighted XGBoost T-Learner,9,38,21,17,5,7,0.23809523809523808,0.4117647058823529,0.17366946778711484,-0.11541772501646291,0.4371874594685877
Overlap-Weighted XGBoost T-Learner,10,38,25,13,10,6,0.4,0.46153846153846156,0.06153846153846154,-0.23805610540037714,0.35913834064122774
