area,check,observed,expected,status,detail
Treatment assignment,Overall intervention rate,0.325,Approximately 40%,FAIL,
Treatment assignment,Intervention rate by risk_tier=High,0.8295454545454546,65%,FAIL,
Treatment assignment,Intervention rate by risk_tier=Low,0.18507462686567164,25%,PASS,
Treatment assignment,Intervention rate by risk_tier=Medium,0.49107142857142855,45%,PASS,
Treatment assignment,Intervention rate by risk_tier=Very High,1.0,65%,FAIL,
Treatment assignment,ed_visits_last_6m association with intervention,0.11113956143048008,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,admits_last_6m association with intervention,0.10458616786988204,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,Clinical Score association with intervention,0.3704955121453493,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,utilization_score association with intervention,0.31267382590598697,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,SDOH Score association with intervention,0.3525078924080577,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,behavioral_health_risk_flag association with intervention,0.30537849608394535,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,chf_flag association with intervention,0.24671723814405241,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,ckd_flag association with intervention,0.2555098797517935,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,copd_flag association with intervention,0.20422956393881342,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,diabetes_flag association with intervention,0.24116073237450794,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,polypharmacy_flag association with intervention,0.34087101406820025,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,dual_eligible association with intervention,0.09738070111509578,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,age association with intervention,0.0970765708440493,Positive Spearman correlation expected,PASS,Higher complexity should increase treatment probability
Treatment assignment,gender minimal direct effect,0.37278911564625844,Small spread across categories,FAIL,
Treatment assignment,language minimal direct effect,0.16933333333333334,Small spread across categories,PASS,
Treatment assignment,service_region minimal direct effect,0.0,Small spread across categories,PASS,
Outcome generation,Overall 90-day ED outcome rate,0.098,Approximately 10%,PASS,
Outcome generation,90-day ED rate by risk_tier=High,0.5113636363636364,22%,FAIL,
Outcome generation,90-day ED rate by risk_tier=Low,0.0,4%,PASS,
Outcome generation,90-day ED rate by risk_tier=Medium,0.18303571428571427,10%,FAIL,
Outcome generation,90-day ED rate by risk_tier=Very High,0.6666666666666666,22%,FAIL,
Outcome generation,ed_visits_last_6m association with outcome_ed_90d,0.13159193928104043,Positive association expected,PASS,
Outcome generation,admits_last_6m association with outcome_ed_90d,0.12075903845744365,Positive association expected,PASS,
Outcome generation,behavioral_health_risk_flag association with outcome_ed_90d,0.30338316519153724,Positive association expected,PASS,
Outcome generation,substance_use_flag association with outcome_ed_90d,0.04722462491110001,Positive association expected,WARN,
Outcome generation,housing_instability_flag association with outcome_ed_90d,0.5516041709505273,Positive association expected,PASS,
Outcome generation,transportation_barrier_flag association with outcome_ed_90d,0.6162102357488207,Positive association expected,PASS,
Outcome generation,food_insecurity_flag association with outcome_ed_90d,0.27243864540849216,Positive association expected,PASS,
Outcome generation,chf_flag association with outcome_ed_90d,0.22447521982754695,Positive association expected,PASS,
Outcome generation,ckd_flag association with outcome_ed_90d,0.24928959964006372,Positive association expected,PASS,
Outcome generation,copd_flag association with outcome_ed_90d,0.24028621552611087,Positive association expected,PASS,
Outcome generation,diabetes_flag association with outcome_ed_90d,0.2278973783067908,Positive association expected,PASS,
Outcome generation,polypharmacy_flag association with outcome_ed_90d,0.32459717176931296,Positive association expected,PASS,
Outcome generation,age association with outcome_ed_90d,0.03309941049462682,Positive association expected,WARN,
Outcome generation,med_adherence_pdc association with outcome_ed_90d,-0.4000651727772465,Negative association expected,PASS,
Clinical burden,diabetes_flag should increase ckd_flag,0.36495942827365446,Positive conditional-rate lift,PASS,rate if yes=0.376 vs no=0.011
Clinical burden,diabetes_flag should increase polypharmacy_flag,0.3998114097123998,Positive conditional-rate lift,PASS,rate if yes=0.495 vs no=0.095
Clinical burden,chf_flag should increase ckd_flag,0.9095663750475467,Positive conditional-rate lift,PASS,rate if yes=0.955 vs no=0.045
Behavioral health,depression_flag should increase behavioral_health_risk_flag,0.6628959276018099,Positive conditional-rate lift,PASS,rate if yes=1.000 vs no=0.337
Behavioral health,anxiety_flag should increase behavioral_health_risk_flag,0.6704805491990846,Positive conditional-rate lift,PASS,rate if yes=1.000 vs no=0.330
Behavioral health,substance_use_flag should increase behavioral_health_risk_flag,0.827683615819209,Positive conditional-rate lift,PASS,rate if yes=1.000 vs no=0.172
Behavioral health,substance_use_flag should increase opioid_flag,0.5102739726027398,Positive conditional-rate lift,PASS,rate if yes=0.510 vs no=0.000
SDOH,housing_instability_flag should increase food_insecurity_flag,0.3777777777777778,Positive conditional-rate lift,PASS,rate if yes=0.540 vs no=0.162
SDOH,housing_instability_flag should increase transportation_barrier_flag,0.9488888888888889,Positive conditional-rate lift,PASS,rate if yes=1.000 vs no=0.051
SDOH,housing_instability_flag should increase utilities_insecurity_flag,0.95,Positive conditional-rate lift,PASS,rate if yes=1.000 vs no=0.050
SDOH,transportation_barrier_flag should increase food_insecurity_flag,0.3593083314619358,Positive conditional-rate lift,PASS,rate if yes=0.507 vs no=0.148
Post treatment,polypharmacy_flag should increase pharmacy_review_flag,0.27476831421006176,Positive conditional-rate lift,PASS,rate if yes=0.278 vs no=0.004
Post treatment,high_cost_drug_flag should increase pharmacy_review_flag,0.34730191333080307,Positive conditional-rate lift,PASS,rate if yes=0.383 vs no=0.036
Post treatment,food_insecurity_flag should increase community_referral_flag,0.33125,Positive conditional-rate lift,PASS,rate if yes=0.385 vs no=0.054
Post treatment,housing_instability_flag should increase community_referral_flag,0.4111111111111111,Positive conditional-rate lift,PASS,rate if yes=0.490 vs no=0.079
Post treatment,transportation_barrier_flag should increase community_referral_flag,0.461005421706073,Positive conditional-rate lift,PASS,rate if yes=0.514 vs no=0.053
Post treatment,behavioral_health_risk_flag should increase notes_escalation_flag,0.1568481970618786,Positive conditional-rate lift,PASS,rate if yes=0.174 vs no=0.017
Clinical burden,diabetes_flag relationship with rx_count_last_6m,4.097756768158019,Positive mean lift,PASS,mean if yes=5.599 vs no=1.501
Clinical burden,diabetes_flag relationship with specialist_visits_last_6m,1.7778604928161987,Positive mean lift,PASS,mean if yes=2.327 vs no=0.549
Clinical burden,diabetes_flag relationship with admits_last_6m,0.25313283208020043,Positive mean lift,PASS,mean if yes=2.000 vs no=1.747
Clinical burden,chf_flag relationship with ed_visits_last_6m,0.5667554203119054,Positive mean lift,PASS,mean if yes=3.182 vs no=2.615
Clinical burden,chf_flag relationship with admits_last_6m,0.4728033472803348,Positive mean lift,PASS,mean if yes=2.250 vs no=1.777
Clinical burden,chf_flag relationship with specialist_visits_last_6m,3.7573221757322175,Positive mean lift,PASS,mean if yes=4.500 vs no=0.743
Behavioral health,behavioral_health_risk_flag relationship with ed_visits_last_6m,0.10733541079289699,Positive mean lift,PASS,mean if yes=2.703 vs no=2.596
Behavioral health,behavioral_health_risk_flag relationship with admits_last_6m,0.08914939572307135,Positive mean lift,PASS,mean if yes=1.850 vs no=1.761
Behavioral health,behavioral_health_risk_flag relationship with SDOH Score,0.8174885822162867,Positive mean lift,PASS,mean if yes=1.070 vs no=0.253
Behavioral health,substance_use_flag relationship with ed_visits_last_6m,0.11667053633619684,Positive mean lift,PASS,mean if yes=2.723 vs no=2.606
SDOH,transportation_barrier_flag relationship with ed_visits_last_6m,0.3654037406563795,Positive mean lift,PASS,mean if yes=2.952 vs no=2.587
SDOH,transportation_barrier_flag relationship with pcp_visits_last_6m,2.8346219242244395,Negative mean lift,FAIL,mean if yes=4.329 vs no=1.494
Pharmacy,polypharmacy_flag relationship with rx_count_last_6m,6.6064651368049425,Positive mean lift,PASS,mean if yes=7.773 vs no=1.166
Pharmacy,high_cost_drug_flag relationship with total_cost_last_6m,248.4006485677927,Positive mean lift,PASS,mean if yes=391.774 vs no=143.374
Post treatment,notes_escalation_flag relationship with avg_call_duration_min,0.5998321064186989,Positive mean lift,PASS,mean if yes=17.776 vs no=17.176
Interactions,CHF + CKD should exceed either condition alone for ED utilization,0.5444444444444443,Positive lift for combined condition,PASS,"both=3.167, exactly_one=2.622"
Interactions,ED outcome should rise more rapidly after 3+ prior ED visits,-0.009106058802523506,Positive jump after 3+ visits,FAIL,
Treatment effect,transportation_barrier_flag should increase true treatment effect,0.11209617914086817,Positive mean lift,PASS,mean if yes=0.339 vs no=0.227
Treatment effect,housing_instability_flag should increase true treatment effect,0.12377777777777785,Positive mean lift,PASS,mean if yes=0.354 vs no=0.231
Treatment effect,food_insecurity_flag should increase true treatment effect,0.07537500000000003,Positive mean lift,PASS,mean if yes=0.303 vs no=0.228
Treatment effect,behavioral_health_risk_flag should increase true treatment effect,0.07522299714761507,Positive mean lift,PASS,mean if yes=0.287 vs no=0.212
Treatment effect,depression_flag should increase true treatment effect,0.09004524886877827,Positive mean lift,PASS,mean if yes=0.323 vs no=0.232
Treatment effect,anxiety_flag should increase true treatment effect,0.09148414514547237,Positive mean lift,PASS,mean if yes=0.323 vs no=0.231
Treatment effect,Lower medication adherence should increase treatment effect,0.37326602050581015,Negative correlation between PDC and treatment effect,PASS,"corr(PDC, TTE)=-0.373"
Internal consistency,successful_contacts <= outreach_attempts,0.0,0 invalid rows,PASS,
Internal consistency,avg_call_duration_min <= max_call_duration_min,0.0,0 invalid rows,PASS,
Internal consistency,Call durations blank when successful_contacts=0,0.124,0 invalid rows,FAIL,
Internal consistency,dual_eligible should align with Dual/Medicare plan_type,0.464,High agreement expected,WARN,
Internal consistency,pregnancy_flag prevalence,0.21,3%-6% per research CSV,FAIL,
Internal consistency,pregnancy_flag age constraint,0.0,No pregnancy outside plausible age range,PASS,
