Area,Check,Result,Expected,Status,Finding
Treatment assignment,Overall intervention probability,32.5%,Approximately 40%,Fail,Observed treatment assignment is compared directly with the requested overall probability.
Treatment assignment,Intervention probability for risk_tier=Low,18.5%,25.0% target,Fail,Pass/fail is based on the conditional treatment rate for this tier.
Treatment assignment,Intervention probability for risk_tier=Medium,49.1%,45.0% target,Pass,Pass/fail is based on the conditional treatment rate for this tier.
Treatment assignment,Intervention probability for risk_tier=High,83.0%,65.0% target,Fail,Pass/fail is based on the conditional treatment rate for this tier.
Treatment assignment,Intervention probability for risk_tier=Very High,100.0%,65.0% target,Fail,Pass/fail is based on the conditional treatment rate for this tier.
Treatment assignment,ED visits last 6 months >=3 vs <3,high=34.7%; low=29.9%; RR=1.16; OR=1.24,"Very high positive driver, weight 5",Weak,"Using the clinically meaningful 3+ ED visit threshold, treatment lift is positive but much smaller than the documented weight-5 driver implies."
Treatment assignment,Admissions last 6 months >=1 vs 0,high=34.9%; low=27.1%; RR=1.29; OR=1.44,"Very high positive driver, weight 5",Weak,"Using the clinically meaningful any-admission threshold, treatment lift is positive but much smaller than the documented weight-5 driver implies."
Treatment assignment,Clinical Score high vs low,high=64.0%; low=19.5%; RR=3.29; OR=7.35,"High positive driver, weight 4",Pass,Conditional treatment rates validate the documented treatment driver.
Treatment assignment,Utilization Score high vs low,high=46.3%; low=19.9%; RR=2.33; OR=3.49,"High positive driver, weight 4",Pass,Conditional treatment rates validate the documented treatment driver.
Treatment assignment,SDOH Score high vs low,high=57.5%; low=22.8%; RR=2.52; OR=4.59,"High positive driver, weight 4",Pass,Conditional treatment rates validate the documented treatment driver.
Treatment assignment,Age high vs low,high=38.4%; low=26.6%; RR=1.44; OR=1.72,Low positive driver; only slight lift expected,Weak,"Age has a positive treatment lift, but the design calls for only a slight direct effect."
Treatment assignment,behavioral_health_risk_flag conditional intervention probability,yes=49.5%; no=20.5%; RR=2.42; OR=3.81,"High positive driver, weight 4",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,chf_flag conditional intervention probability,yes=86.4%; no=30.0%; RR=2.88; OR=14.76,"Moderate positive driver, weight 2",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,ckd_flag conditional intervention probability,yes=71.8%; no=28.9%; RR=2.49; OR=6.27,"Moderate positive driver, weight 2",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,copd_flag conditional intervention probability,yes=60.6%; no=29.2%; RR=2.07; OR=3.72,"Moderate positive driver, weight 2",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,diabetes_flag conditional intervention probability,yes=55.0%; no=26.8%; RR=2.05; OR=3.33,"Moderate positive driver, weight 1",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,polypharmacy_flag conditional intervention probability,yes=67.0%; no=25.1%; RR=2.67; OR=6.06,"Moderate positive driver, weight 2",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,dual_eligible conditional intervention probability,yes=40.4%; no=29.9%; RR=1.35; OR=1.59,"Moderate positive driver, weight 2",Pass,Decision uses direct treatment rates among members with and without the driver.
Treatment assignment,Gender direct treatment spread,min=29.4%; max=66.7%; spread=37.3%,Minimal/no meaningful direct effect,Fail,Demographic or geographic fields should not materially drive treatment assignment directly.
Treatment assignment,Language direct treatment spread,min=28.3%; max=45.2%; spread=16.9%,Minimal/no meaningful direct effect,Fail,Demographic or geographic fields should not materially drive treatment assignment directly.
Treatment assignment,Region direct treatment spread,min=32.5%; max=32.5%; spread=0.0%,Minimal/no meaningful direct effect,Pass,Demographic or geographic fields should not materially drive treatment assignment directly.
Outcome generation,Overall 90-day ED outcome probability,9.8%,Approximately 10%,Pass,Observed outcome prevalence is compared directly with the requested overall rate.
Outcome generation,90-day ED probability for risk_tier=Low,0.0%,4.0% target,Fail,Pass/fail is based on the conditional outcome rate for this risk tier.
Outcome generation,90-day ED probability for risk_tier=Medium,18.3%,10.0% target,Fail,Pass/fail is based on the conditional outcome rate for this risk tier.
Outcome generation,90-day ED probability for risk_tier=High,51.1%,22.0% target,Fail,Pass/fail is based on the conditional outcome rate for this risk tier.
Outcome generation,90-day ED probability for risk_tier=Very High,66.7%,22.0% target,Fail,Pass/fail is based on the conditional outcome rate for this risk tier.
Outcome generation,ED outcome curve by prior ED visits,0=0.0%; 1=9.0%; 2=12.9%; 3+=12.0%,"Risk should rise gradually through 2 visits, then rise more rapidly at 3+",Fail,The direct conditional outcome curve does not show the requested jump after 3+ prior ED visits.
Outcome generation,Prior ED visits >=3 vs <3,exposed=12.0%; reference=7.2%; RR=1.66; OR=1.75,Relative risk about 4.00x,Fail,Outcome relationship is missing or reversed.
Outcome generation,Prior admissions >=1 vs 0,exposed=12.2%; reference=4.3%; RR=2.84; OR=3.10,Relative risk about 3.00x,Pass,Observed conditional outcome rates are consistent with the requested relative risk.
Outcome generation,Behavioral health risk yes vs no,exposed=20.5%; reference=2.2%; RR=9.25; OR=11.39,Relative risk about 1.60x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Substance use disorder yes vs no,exposed=12.0%; reference=8.9%; RR=1.35; OR=1.39,Relative risk about 1.50x,Pass,Observed conditional outcome rates are consistent with the requested relative risk.
Outcome generation,Housing instability yes vs no,exposed=59.0%; reference=4.3%; RR=13.62; OR=31.77,Relative risk about 1.40x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Transportation barrier yes vs no,exposed=54.1%; reference=2.2%; RR=24.32; OR=51.82,Relative risk about 1.25x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Food insecurity yes vs no,exposed=26.0%; reference=5.8%; RR=4.52; OR=5.76,Relative risk about 1.20x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,CHF yes vs no,exposed=40.9%; reference=8.4%; RR=4.89; OR=7.58,Relative risk about 1.40x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,CKD yes vs no,exposed=34.1%; reference=7.5%; RR=4.52; OR=6.35,Relative risk about 1.35x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,COPD yes vs no,exposed=30.8%; reference=7.4%; RR=4.18; OR=5.59,Relative risk about 1.30x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Diabetes yes vs no,exposed=23.3%; reference=6.4%; RR=3.64; OR=4.44,Relative risk about 1.15x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Poor medication adherence PDC<0.80 vs >=0.80,exposed=37.8%; reference=5.1%; RR=7.36; OR=11.21,Relative risk about 1.20x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Polypharmacy yes vs no,exposed=30.7%; reference=5.3%; RR=5.75; OR=7.85,Relative risk about 1.20x,Fail,Outcome relationship is directionally positive but materially overstates the requested relative risk.
Outcome generation,Age >65 vs <=65,exposed=11.9%; reference=8.9%; RR=1.34; OR=1.39,Relative risk about 1.10x,Pass,Observed conditional outcome rates are consistent with the requested relative risk.
Treatment effect,Transportation barrier should increase treatment benefit,with=0.34; without=0.23; lift=0.11,High positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Housing instability should increase treatment benefit,with=0.35; without=0.23; lift=0.12,High positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Food insecurity should increase treatment benefit,with=0.30; without=0.23; lift=0.08,Moderate positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Behavioral health risk should increase treatment benefit,with=0.29; without=0.21; lift=0.08,High positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Depression should increase treatment benefit,with=0.32; without=0.23; lift=0.09,Moderate positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Anxiety should increase treatment benefit,with=0.32; without=0.23; lift=0.09,Moderate positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Medication nonadherence should increase treatment benefit,with=0.31; without=0.23; lift=0.08,High positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Frequent ED utilization should increase treatment benefit,with=0.28; without=0.20; lift=0.09,High positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Multiple chronic conditions should increase treatment benefit,with=0.29; without=0.24; lift=0.05,Moderate positive benefit driver,Pass,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,No PCP utilization should increase treatment benefit,with=0.21; without=0.25; lift=-0.04,Moderate positive benefit driver,Fail,Mean true treatment effect is compared directly between members with and without the driver.
Treatment effect,Pregnancy should have minimal treatment-benefit influence,with=0.23; without=0.25; lift=-0.02,Minimal/low benefit driver,Pass,Observed treatment benefit is appropriately near-neutral for this low/minimal driver.
Treatment effect,Advanced CHF + CKD treatment benefit,advanced=0.30; others=0.24; lift=0.06,Should have lower/negative benefit,Fail,"Advanced CHF+CKD members show higher, not lower, true treatment benefit."
Treatment effect distribution,High Benefit share,21.4%,20.0% target,Pass,"Benefit-group share is inferred from true_treatment_effect bands: high >=0.30, moderate 0.125-<0.30, low 0.025-<0.125, no <0.025."
Treatment effect distribution,Moderate Benefit share,73.8%,50.0% target,Fail,"Benefit-group share is inferred from true_treatment_effect bands: high >=0.30, moderate 0.125-<0.30, low 0.025-<0.125, no <0.025."
Treatment effect distribution,Low Benefit share,4.8%,25.0% target,Fail,"Benefit-group share is inferred from true_treatment_effect bands: high >=0.30, moderate 0.125-<0.30, low 0.025-<0.125, no <0.025."
Treatment effect distribution,No Benefit share,0.0%,5.0% target,Pass,"Benefit-group share is inferred from true_treatment_effect bands: high >=0.30, moderate 0.125-<0.30, low 0.025-<0.125, no <0.025."
Treatment effect segments,High Risk + High Benefit,8.1%,15.0% target,Fail,Segment share is validated directly from risk_tier and true_treatment_effect bands.
